time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
0.59,0.0682688,0.108253,0.318269,0.108253,0.568269,0.108253,0.193269,0.324759,0.443269,0.324759,0.693269,0.324759,0.0682688,0.541266,0.318269,0.541266,0.568269,0.541266,0.193269,0.757772,0.443269,0.757772,0.693269,0.757772
0.591,0.0682867,0.108253,0.318287,0.108253,0.568287,0.108253,0.193287,0.324759,0.443287,0.324759,0.693287,0.324759,0.0682867,0.541266,0.318287,0.541266,0.568287,0.541266,0.193287,0.757772,0.443287,0.757772,0.693287,0.757772
0.592,0.0683046,0.108253,0.318305,0.108253,0.568305,0.108253,0.193305,0.32476,0.443305,0.32476,0.693305,0.32476,0.0683046,0.541266,0.318305,0.541266,0.568305,0.541266,0.193305,0.757772,0.443305,0.757772,0.693305,0.757772
0.593,0.0683225,0.108253,0.318323,0.108253,0.568322,0.108253,0.193323,0.32476,0.443322,0.32476,0.693322,0.32476,0.0683225,0.541266,0.318323,0.541266,0.568322,0.541266,0.193323,0.757772,0.443322,0.757772,0.693322,0.757772
0.594,0.0683403,0.108253,0.31834,0.108253,0.56834,0.108253,0.19334,0.324759,0.443341,0.324759,0.693341,0.324759,0.0683403,0.541266,0.31834,0.541266,0.56834,0.541266,0.19334,0.757772,0.44334,0.757772,0.69334,0.757772
0.595,0.0683582,0.108253,0.318358,0.108253,0.568358,0.108253,0.193358,0.324759,0.443358,0.324759,0.693358,0.324759,0.0683582,0.541266,0.318358,0.541266,0.568358,0.541266,0.193358,0.757772,0.443358,0.757772,0.693358,0.757772
0.596,0.0683763,0.108253,0.318376,0.108253,0.568376,0.108253,0.193376,0.32476,0.443376,0.32476,0.693376,0.32476,0.0683763,0.541266,0.318376,0.541266,0.568376,0.541266,0.193376,0.757772,0.443376,0.757772,0.693376,0.757772
0.597,0.0683943,0.108253,0.318394,0.108253,0.568394,0.108253,0.193394,0.32476,0.443394,0.32476,0.693394,0.32476,0.0683943,0.541266,0.318394,0.541266,0.568394,0.541266,0.193394,0.757772,0.443394,0.757772,0.693394,0.757772
0.598,0.0684122,0.108253,0.318412,0.108253,0.568412,0.108253,0.193412,0.324759,0.443412,0.324759,0.693412,0.324759,0.0684122,0.541266,0.318412,0.541266,0.568412,0.541266,0.193412,0.757772,0.443412,0.757772,0.693412,0.757772
0.599,0.0684302,0.108253,0.31843,0.108253,0.56843,0.108253,0.19343,0.324759,0.44343,0.324759,0.69343,0.324759,0.0684302,0.541266,0.31843,0.541266,0.56843,0.541266,0.19343,0.757772,0.44343,0.757772,0.69343,0.757772
