x,y
0,0
0,0
0,0
0,0
0,0
0,0
time,x,y,x,y,x,y,x,y,x,y,x,y
0.132,-5.61868,16.729,-5.61868,16.729,5.61868,16.729,-5.61868,-16.729,5.61868,-16.729,5.61868,-16.729
0.133,-5.61868,16.729,-5.61868,16.729,5.61868,16.729,-5.61868,-16.729,5.61868,-16.729,5.61868,-16.729
0.134,5.61863,16.7291,5.61863,16.729,-5.61867,16.7291,5.61867,-16.7291,-5.61863,-16.729,-5.61863,-16.7291
0.135,5.61857,16.7292,5.61857,16.7291,-5.6186,16.7291,5.6186,-16.7291,-5.61857,-16.7291,-5.61857,-16.7292
0.136,-5.61849,16.7293,-5.61849,16.7293,5.61849,16.7293,-5.61849,-16.7293,5.61849,-16.7293,5.61849,-16.7293
0.137,-5.61837,16.7295,-5.61837,16.7295,5.61837,16.7295,-5.61837,-16.7295,5.61837,-16.7295,5.61837,-16.7295
0.138,5.6182,16.7297,5.6182,16.7297,-5.61823,16.7297,5.61823,-16.7297,-5.6182,-16.7297,-5.6182,-16.7297
0.139,5.61801,16.73,5.61801,16.7299,-5.61805,16.73,5.61805,-16.73,-5.61801,-16.7299,-5.61801,-16.73
0.14,-5.61781,16.7303,-5.61781,16.7303,5.61781,16.7303,-5.61781,-16.7303,5.61781,-16.7303,5.61781,-16.7303
0.141,-5.61756,16.7306,-5.61756,16.7306,5.61756,16.7306,-5.61756,-16.7306,5.61756,-16.7306,5.61756,-16.7306
0.142,5.61727,16.7311,5.61727,16.731,-5.6173,16.731,5.6173,-16.731,-5.61727,-16.731,-5.61727,-16.7311
0.143,5.61696,16.7315,5.61696,16.7315,-5.61699,16.7315,5.61699,-16.7315,-5.61696,-16.7315,-5.61696,-16.7315
0.144,-5.61663,16.732,-5.61663,16.732,5.61663,16.732,-5.61663,-16.732,5.61663,-16.732,5.61663,-16.732
0.145,-5.617,-16.7314,-5.617,-16.7314,5.617,-16.7314,-5.617,16.7314,5.617,16.7314,5.617,16.7314
0.146,5.61733,-16.731,5.61733,-16.7309,-5.61736,-16.731,5.61736,16.731,-5.61733,16.7309,-5.61733,16.731
0.147,5.61764,-16.7305,5.61764,-16.7305,-5.61767,-16.7305,5.61767,16.7305,-5.61764,16.7305,-5.61764,16.7305
0.148,-5.61793,-16.7301,-5.61793,-16.7301,5.61793,-16.7301,-5.61793,16.7301,5.61793,16.7301,5.61793,16.7301
0.149,-5.61818,-16.7297,-5.61818,-16.7297,5.61818,-16.7297,-5.61818,16.7297,5.61818,16.7297,5.61818,16.7297
0.15,5.61839,-16.7294,5.61839,-16.7294,-5.61842,-16.7294,5.61842,16.7294,-5.61839,16.7294,-5.61839,16.7294
0.151,5.61857,-16.7292,5.61857,-16.7291,-5.61861,-16.7291,5.61861,16.7291,-5.61857,16.7291,-5.61857,16.7292
0.152,-5.61874,-16.7289,-5.61874,-16.7289,5.61874,-16.7289,-5.61874,16.7289,5.61874,16.7289,5.61874,16.7289
0.153,-5.61887,-16.7287,-5.61887,-16.7287,5.61887,-16.7287,-5.61887,16.7287,5.61887,16.7287,5.61887,16.7287
0.154,5.61894,-16.7286,5.61894,-16.7286,-5.61898,-16.7286,5.61898,16.7286,-5.61894,16.7286,-5.61894,16.7286
0.155,5.61901,-16.7285,5.61901,-16.7285,-5.61904,-16.7285,5.61904,16.7285,-5.61901,16.7285,-5.61901,16.7285
0.156,-5.61905,-16.7285,-5.61905,-16.7285,5.61905,-16.7285,-5.61905,16.7285,5.61905,16.7285,5.61905,16.7285
0.157,-5.61905,-16.7285,-5.61905,-16.7285,5.61905,-16.7285,-5.61905,16.7285,5.61905,16.7285,5.61905,16.7285
0.158,5.61901,-16.7285,5.61901,-16.7285,-5.61904,-16.7285,5.61904,16.7285,-5.61901,16.7285,-5.61901,16.7285
0.159,5.61894,-16.7286,5.61894,-16.7286,-5.61898,-16.7286,5.61898,16.7286,-5.61894,16.7286,-5.61894,16.7286
0.16,-5.61887,-16.7287,-5.61887,-16.7287,5.61887,-16.7287,-5.61887,16.7287,5.61887,16.7287,5.61887,16.7287
0.161,-5.61874,-16.7289,-5.61874,-16.7289,5.61874,-16.7289,-5.61874,16.7289,5.61874,16.7289,5.61874,16.7289
0.162,5.61857,-16.7292,5.61857,-16.7291,-5.61861,-16.7291,5.61861,16.7291,-5.61857,16.7291,-5.61857,16.7292
0.163,5.61839,-16.7294,5.61839,-16.7294,-5.61842,-16.7294,5.61842,16.7294,-5.61839,16.7294,-5.61839,16.7294
0.164,-5.61818,-16.7297,-5.61818,-16.7297,5.61818,-16.7297,-5.61818,16.7297,5.61818,16.7297,5.61818,16.7297
0.165,-5.61793,-16.7301,-5.61793,-16.7301,5.61793,-16.7301,-5.61793,16.7301,5.61793,16.7301,5.61793,16.7301
0.166,5.61764,-16.7305,5.61764,-16.7305,-5.61767,-16.7305,5.61767,16.7305,-5.61764,16.7305,-5.61764,16.7305
0.167,5.61733,-16.731,5.61733,-16.7309,-5.61736,-16.731,5.61736,16.731,-5.61733,16.7309,-5.61733,16.731
0.168,-5.617,-16.7314,-5.617,-16.7314,5.617,-16.7314,-5.617,16.7314,5.617,16.7314,5.617,16.7314
0.169,-5.61663,-16.732,-5.61663,-16.732,5.61663,-16.732,-5.61663,16.732,5.61663,16.732,5.61663,16.732
0.17,5.61702,16.7314,5.61702,16.7314,-5.61705,16.7314,5.61705,-16.7314,-5.61702,-16.7314,-5.61702,-16.7314
0.171,5.61739,16.7309,5.61739,16.7308,-5.61742,16.7309,5.61742,-16.7309,-5.61739,-16.7308,-5.61739,-16.7309
0.172,-5.61775,16.7304,-5.61775,16.7304,5.61775,16.7304,-5.61775,-16.7304,5.61775,-16.7304,5.61775,-16.7304
0.173,-5.61806,16.7299,-5.61806,16.7299,5.61806,16.7299,-5.61806,-16.7299,5.61806,-16.7299,5.61806,-16.7299
0.174,5.61832,16.7295,5.61832,16.7295,-5.61836,16.7295,5.61836,-16.7295,-5.61832,-16.7295,-5.61832,-16.7295
0.175,5.61857,16.7292,5.61857,16.7291,-5.6186,16.7291,5.6186,-16.7291,-5.61857,-16.7291,-5.61857,-16.7292
0.176,-5.6188,16.7288,-5.6188,16.7288,5.6188,16.7288,-5.6188,-16.7288,5.6188,-16.7288,5.6188,-16.7288
0.177,-5.61899,16.7285,-5.61899,16.7285,5.61899,16.7285,-5.61899,-16.7285,5.61899,-16.7285,5.61899,-16.7285
0.178,5.61913,16.7283,5.61913,16.7283,-5.61916,16.7283,5.61916,-16.7283,-5.61913,-16.7283,-5.61913,-16.7283
0.179,5.61926,16.7282,5.61926,16.7281,-5.61929,16.7281,5.61929,-16.7281,-5.61926,-16.7281,-5.61926,-16.7282
0.18,-5.61936,16.728,-5.61936,16.728,5.61936,16.728,-5.61936,-16.728,5.61936,-16.728,5.61936,-16.728
0.181,-5.61943,16.7279,-5.61943,16.7279,5.61943,16.7279,-5.61943,-16.7279,5.61943,-16.7279,5.61943,-16.7279
0.182,5.61944,16.7279,5.61944,16.7279,-5.61948,16.7279,5.61948,-16.7279,-5.61944,-16.7279,-5.61944,-16.7279
0.183,5.61944,16.7279,5.61944,16.7279,-5.61948,16.7279,5.61948,-16.7279,-5.61944,-16.7279,-5.61944,-16.7279
0.184,-5.61943,16.7279,-5.61943,16.7279,5.61943,16.7279,-5.61943,-16.7279,5.61943,-16.7279,5.61943,-16.7279
0.185,-5.61936,16.728,-5.61936,16.728,5.61936,16.728,-5.61936,-16.728,5.61936,-16.728,5.61936,-16.728
0.186,5.61926,16.7282,5.61926,16.7281,-5.61929,16.7281,5.61929,-16.7281,-5.61926,-16.7281,-5.61926,-16.7282
0.187,5.61913,16.7283,5.61913,16.7283,-5.61916,16.7283,5.61916,-16.7283,-5.61913,-16.7283,-5.61913,-16.7283
0.188,-5.61899,16.7285,-5.61899,16.7285,5.61899,16.7285,-5.61899,-16.7285,5.61899,-16.7285,5.61899,-16.7285
0.189,-5.6188,16.7288,-5.6188,16.7288,5.6188,16.7288,-5.6188,-16.7288,5.6188,-16.7288,5.6188,-16.7288
0.19,5.61857,16.7292,5.61857,16.7291,-5.61861,16.7291,5.61861,-16.7291,-5.61857,-16.7291,-5.61857,-16.7292
0.191,5.61832,16.7295,5.61832,16.7295,-5.61836,16.7295,5.61836,-16.7295,-5.61832,-16.7295,-5.61832,-16.7295
0.192,-5.61806,16.7299,-5.61806,16.7299,5.61806,16.7299,-5.61806,-16.7299,5.61806,-16.7299,5.61806,-16.7299
0.193,-5.61775,16.7304,-5.61775,16.7304,5.61775,16.7304,-5.61775,-16.7304,5.61775,-16.7304,5.61775,-16.7304
0.194,5.61739,16.7309,5.61739,16.7308,-5.61742,16.7309,5.61742,-16.7309,-5.61739,-16.7308,-5.61739,-16.7309
0.195,5.61702,16.7314,5.61702,16.7314,-5.61705,16.7314,5.61705,-16.7314,-5.61702,-16.7314,-5.61702,-16.7314
0.196,-5.61663,16.732,-5.61663,16.732,5.61663,16.732,-5.61663,-16.732,5.61663,-16.732,5.61663,-16.732
0.197,-5.61706,-16.7314,-5.61706,-16.7314,5.61706,-16.7314,-5.61706,16.7314,5.61706,16.7314,5.61706,16.7314
0.198,5.61745,-16.7308,5.61745,-16.7308,-5.61749,-16.7308,5.61749,16.7308,-5.61745,16.7308,-5.61745,16.7308
0.199,5.61783,-16.7303,5.61783,-16.7302,-5.61786,-16.7302,5.61786,16.7302,-5.61783,16.7302,-5.61783,16.7303
