x,y
0.01,0.108253
0.743,0.0485109,0.0360842
0.744,0.0486147,0.0360842
0.745,0.0487187,0.0360842
0.746,0.0488228,0.0360842
0.747,0.0489271,0.0360842
0.748,0.0490315,0.0360842
0.749,0.049136,0.0360842
0.75,0.0492407,0.0360842
0.751,0.0493455,0.0360842
0.752,0.0494505,0.0360842
0.753,0.0495556,0.0360842
0.754,0.0496608,0.0360842
0.755,0.0497662,0.0360842
0.756,0.0498718,0.0360842
0.757,0.0499774,0.0360842
0.758,0.0500832,0.0360842
0.759,0.0501892,0.0360842
0.76,0.0502953,0.0360842
0.761,0.0504015,0.0360842
0.762,0.0505078,0.0360842
0.763,0.0506144,0.0360842
0.764,0.050721,0.0360842
0.765,0.0508278,0.0360842
0.766,0.0509347,0.0360842
0.767,0.0510418,0.0360842
0.768,0.051149,0.0360842
0.769,0.0512563,0.0360842
0.77,0.0513638,0.0360842
0.771,0.0514714,0.0360842
0.772,0.0515792,0.0360842
0.773,0.0516871,0.0360842
0.774,0.0517951,0.0360842
0.775,0.0519033,0.0360842
0.776,0.0520116,0.0360842
0.777,0.0521201,0.0360842
0.778,0.0522287,0.0360842
0.779,0.0523375,0.0360842
0.78,0.0524463,0.0360842
0.781,0.0525554,0.0360842
0.782,0.0526645,0.0360842
0.783,0.0527738,0.0360842
0.784,0.0528833,0.0360842
0.785,0.0529929,0.0360842
0.786,0.0531026,0.0360842
0.787,0.0532125,0.0360842
0.788,0.0533225,0.0360842
0.789,0.0534326,0.0360842
0.79,0.0535429,0.0360842
0.791,0.0536533,0.0360842
0.792,0.0537639,0.0360842
0.793,0.0538746,0.0360842
0.794,0.0539854,0.0360842
0.795,0.0540964,0.0360842
0.796,0.0542075,0.0360842
0.797,0.0543188,0.0360842
0.798,0.0544302,0.0360842
0.799,0.0545417,0.0360842
0.8,0.0546534,0.0360842
0.801,0.0547652,0.0360842
0.802,0.0548772,0.0360842
0.803,0.0549893,0.0360842
0.804,0.0551016,0.0360842
0.805,0.0552139,0.0360842
0.806,0.0553265,0.0360842
0.807,0.0554391,0.0360842
0.808,0.0555519,0.0360842
0.809,0.0556649,0.0360842
0.81,0.0557779,0.0360842
0.811,0.0558912,0.0360842
0.812,0.0560045,0.0360842
0.813,0.056118,0.0360842
0.814,0.0562317,0.0360842
0.815,0.0563455,0.0360842
0.816,0.0564594,0.0360842
0.817,0.0565735,0.0360842
0.818,0.0566877,0.0360842
0.819,0.056802,0.0360842
0.82,0.0569165,0.0360842
0.821,0.0570311,0.0360842
0.822,0.0571459,0.0360842
0.823,0.0572608,0.0360842
0.824,0.0573758,0.0360842
0.825,0.057491,0.0360842
0.826,0.0576063,0.0360842
0.827,0.0577218,0.0360842
0.828,0.0578374,0.0360842
0.829,0.0579531,0.0360842
0.83,0.058069,0.0360842
0.831,0.058185,0.0360842
0.832,0.0583012,0.0360842
0.833,0.0584175,0.0360842
0.834,0.0585339,0.0360842
0.835,0.0586505,0.0360842
0.836,0.0587672,0.0360842
0.837,0.0588841,0.0360842
0.838,0.0590011,0.0360842
0.839,0.0591183,0.0360842
0.84,0.0592355,0.0360842
0.841,0.059353,0.0360842
0.842,0.0594705,0.0360842
0.843,0.0595882,0.0360842
0.844,0.0597061,0.0360842
0.845,0.0598241,0.0360842
0.846,0.0599422,0.0360842
0.847,0.0600604,0.0360842
0.848,0.0601788,0.0360842
0.849,0.0602974,0.0360842
0.85,0.0604161,0.0360842
0.851,0.0605349,0.0360842
0.852,0.0606538,0.0360842
0.853,0.060773,0.0360842
0.854,0.0608922,0.0360842
0.855,0.0610116,0.0360842
0.856,0.0611311,0.0360842
0.857,0.0612508,0.0360842
0.858,0.0613706,0.0360842
0.859,0.0614905,0.0360842
0.86,0.0616106,0.0360842
0.861,0.0617308,0.0360842
0.862,0.0618512,0.0360842
0.863,0.0619717,0.0360842
0.864,0.0620923,0.0360842
0.865,0.0622131,0.0360842
0.866,0.062334,0.0360842
0.867,0.0624551,0.0360842
0.868,0.0625763,0.0360842
0.869,0.0626976,0.0360842
0.87,0.0628191,0.0360842
0.871,0.0629407,0.0360842
0.872,0.0630625,0.0360842
0.873,0.0631844,0.0360842
0.874,0.0633064,0.0360842
0.875,0.0634286,0.0360842
0.876,0.0635509,0.0360842
0.877,0.0636734,0.0360842
