x,y
0,0
0,0
time,x,y,x,y
0.633,7.30226,0,-7.30226,0
0.634,7.30836,0,-7.30836,0
0.635,7.31446,0,-7.31446,0
0.636,7.32055,0,-7.32055,0
0.637,7.32663,0,-7.32663,0
0.638,7.33271,0,-7.33271,0
0.639,7.33878,0,-7.33878,0
0.64,7.34484,0,-7.34484,0
0.641,7.3509,0,-7.3509,0
0.642,7.35696,0,-7.35696,0
0.643,7.36301,0,-7.36301,0
0.644,7.36905,0,-7.36905,0
0.645,7.37508,0,-7.37508,0
0.646,7.38111,0,-7.38111,0
0.647,7.38714,0,-7.38714,0
0.648,7.39316,0,-7.39316,0
0.649,7.39917,0,-7.39917,0
0.65,7.40518,0,-7.40518,0
0.651,7.41118,0,-7.41118,0
0.652,7.41717,0,-7.41717,0
0.653,7.42316,0,-7.42316,0
0.654,7.42914,0,-7.42914,0
0.655,7.43512,0,-7.43512,0
0.656,7.44109,0,-7.44109,0
0.657,7.44705,0,-7.44705,0
0.658,7.45301,0,-7.45301,0
0.659,7.45896,0,-7.45896,0
0.66,7.4649,0,-7.4649,0
0.661,7.47084,0,-7.47084,0
0.662,7.47677,0,-7.47677,0
0.663,7.48269,0,-7.48269,0
0.664,7.48861,0,-7.48861,0
0.665,7.49452,0,-7.49452,0
0.666,7.50043,0,-7.50043,0
0.667,7.50633,0,-7.50633,0
0.668,7.51222,0,-7.51222,0
0.669,7.5181,0,-7.5181,0
0.67,7.52398,0,-7.52398,0
0.671,7.52985,0,-7.52985,0
0.672,7.53572,0,-7.53572,0
0.673,7.54158,0,-7.54158,0
0.674,7.54743,0,-7.54743,0
0.675,7.55327,0,-7.55327,0
0.676,7.55911,0,-7.55911,0
0.677,7.56494,0,-7.56494,0
0.678,7.57076,0,-7.57076,0
0.679,7.57658,0,-7.57658,0
0.68,7.58239,0,-7.58239,0
0.681,7.58819,0,-7.58819,0
0.682,7.59399,0,-7.59399,0
0.683,7.59978,0,-7.59978,0
0.684,7.60556,0,-7.60556,0
0.685,7.61133,0,-7.61133,0
0.686,7.6171,0,-7.6171,0
0.687,7.62286,0,-7.62286,0
0.688,7.62861,0,-7.62861,0
0.689,7.63436,0,-7.63436,0
0.69,7.64009,0,-7.64009,0
0.691,7.64582,0,-7.64582,0
0.692,7.65155,0,-7.65155,0
0.693,7.65726,0,-7.65726,0
0.694,7.66297,0,-7.66297,0
0.695,7.66867,0,-7.66867,0
0.696,7.67436,0,-7.67436,0
0.697,7.68005,0,-7.68005,0
0.698,7.68573,0,-7.68573,0
0.699,7.6914,0,-7.6914,0
0.7,7.69706,0,-7.69706,0
0.701,7.70272,0,-7.70272,0
0.702,7.70836,0,-7.70836,0
0.703,7.714,0,-7.714,0
0.704,7.71963,0,-7.71963,0
0.705,7.72526,0,-7.72526,0
0.706,7.73087,0,-7.73087,0
0.707,7.73648,0,-7.73648,0
0.708,7.74208,0,-7.74208,0
0.709,7.74767,0,-7.74767,0
0.71,7.75326,0,-7.75326,0
0.711,7.75883,0,-7.75883,0
0.712,7.7644,0,-7.7644,0
0.713,7.76996,0,-7.76996,0
0.714,7.77551,0,-7.77551,0
0.715,7.78106,0,-7.78106,0
0.716,7.78659,0,-7.78659,0
0.717,7.79212,0,-7.79212,0
0.718,7.79764,0,-7.79764,0
0.719,7.80315,0,-7.80315,0
0.72,7.80866,0,-7.80866,0
0.721,7.81415,0,-7.81415,0
0.722,7.81964,0,-7.81964,0
0.723,7.82511,0,-7.82511,0
0.724,7.83058,0,-7.83058,0
0.725,7.83604,0,-7.83604,0
0.726,7.8415,0,-7.8415,0
0.727,7.84694,0,-7.84694,0
0.728,7.85237,0,-7.85237,0
0.729,7.8578,0,-7.8578,0
0.73,7.86322,0,-7.86322,0
0.731,7.86863,0,-7.86863,0
