time,x,y,x,y
0.524,0.737138,0,0.112862,0
0.525,0.737087,0,0.112913,0
0.526,0.737036,0,0.112964,0
0.527,0.736985,0,0.113015,0
0.528,0.736934,0,0.113066,0
0.529,0.736882,0,0.113118,0
0.53,0.736831,0,0.113169,0
0.531,0.736779,0,0.113221,0
0.532,0.736727,0,0.113273,0
0.533,0.736676,0,0.113324,0
0.534,0.736624,0,0.113376,0
0.535,0.736572,0,0.113428,0
0.536,0.736519,0,0.113481,0
0.537,0.736467,0,0.113533,0
0.538,0.736415,0,0.113585,0
0.539,0.736362,0,0.113638,0
0.54,0.736309,0,0.113691,0
0.541,0.736257,0,0.113743,0
0.542,0.736204,0,0.113796,0
0.543,0.736151,0,0.113849,0
0.544,0.736098,0,0.113902,0
0.545,0.736045,0,0.113955,0
0.546,0.735991,0,0.114009,0
0.547,0.735938,0,0.114062,0
0.548,0.735884,0,0.114116,0
0.549,0.735831,0,0.114169,0
0.55,0.735777,0,0.114223,0
0.551,0.735723,0,0.114277,0
0.552,0.735669,0,0.114331,0
0.553,0.735615,0,0.114385,0
0.554,0.735561,0,0.114439,0
0.555,0.735506,0,0.114494,0
0.556,0.735452,0,0.114548,0
0.557,0.735397,0,0.114603,0
0.558,0.735343,0,0.114657,0
0.559,0.735288,0,0.114712,0
0.56,0.735233,0,0.114767,0
0.561,0.735178,0,0.114822,0
0.562,0.735123,0,0.114877,0
0.563,0.735068,0,0.114932,0
0.564,0.735012,0,0.114988,0
0.565,0.734957,0,0.115043,0
0.566,0.734901,0,0.115099,0
0.567,0.734845,0,0.115155,0
0.568,0.73479,0,0.11521,0
0.569,0.734734,0,0.115266,0
0.57,0.734678,0,0.115322,0
0.571,0.734622,0,0.115378,0
0.572,0.734565,0,0.115435,0
0.573,0.734509,0,0.115491,0
0.574,0.734452,0,0.115548,0
0.575,0.734396,0,0.115604,0
0.576,0.734339,0,0.115661,0
0.577,0.734282,0,0.115718,0
0.578,0.734225,0,0.115775,0
0.579,0.734168,0,0.115832,0
0.58,0.734111,0,0.115889,0
0.581,0.734054,0,0.115946,0
0.582,0.733996,0,0.116004,0
0.583,0.733939,0,0.116061,0
0.584,0.733881,0,0.116119,0
0.585,0.733823,0,0.116177,0
0.586,0.733765,0,0.116235,0
0.587,0.733707,0,0.116293,0
0.588,0.733649,0,0.116351,0
0.589,0.733591,0,0.116409,0
0.59,0.733533,0,0.116467,0
0.591,0.733474,0,0.116526,0
0.592,0.733416,0,0.116584,0
0.593,0.733357,0,0.116643,0
0.594,0.733298,0,0.116702,0
0.595,0.733239,0,0.116761,0
0.596,0.73318,0,0.11682,0
0.597,0.733121,0,0.116879,0
0.598,0.733062,0,0.116938,0
0.599,0.733002,0,0.116998,0
0.6,0.732943,0,0.117057,0
0.601,0.732883,0,0.117117,0
0.602,0.732823,0,0.117177,0
0.603,0.732764,0,0.117236,0
