lorentzForce,siteDistance,vAve,,
1.76,-0.5,0.050005905,,
1.76,-0.6,0.050002369,,
1.76,-0.7,0.049998057,,
1.76,-0.8,0.04996775,,
1.76,-0.9,0.050023956,,
1.76,-1,0.050056653,,
1.76,-1.1,0.049973502,,
1.76,-1.2,0.05006225,,
1.76,-1.3,0.050044015,,
1.76,-1.4,0.050032464,,
1.76,-1.5,0.049946944,,
1.76,-1.6,0.050059207,,
1.76,-1.7,0.050012028,,
1.76,-1.8,0.273569,,
1.76,-1.9,0.352936,,
1.76,-2,0.429424,,
1.76,0,0.050064946,,
1.76,0.1,0.050063175,,
1.76,0.2,0.049981172,,
1.76,0.3,0.050002615,,
1.76,0.4,0.050040301,,
1.76,0.5,0.050004663,,
1.76,0.6,0.049978667,,
1.76,0.7,0.049986933,,
1.76,0.8,0.050015844,,
1.76,0.9,0.049987174,,
1.76,1,0.049991305,,
1.76,1.1,0.049936639,,
1.76,1.2,0.050006108,,
1.76,1.3,0.050008631,,
1.76,1.4,0.050024139,,
1.76,1.5,0.050019368,,
1.76,1.6,0.050028701,,
1.76,1.7,0.050012962,,
1.76,1.8,-0.1735019,,
1.76,1.9,-0.2556915,,
1.76,2,-0.3299162,,
1.78,-0.1,0.050053406,,
1.78,-0.2,0.049963818,,
1.78,-0.3,0.050071474,,
1.78,-0.4,0.050080577,,
1.78,-0.5,0.050090691,,
1.78,-0.6,0.049985984,,
1.78,-0.7,0.049975657,,
1.78,-0.8,0.049948706,,
1.78,-0.9,0.050003486,,
1.78,-1,0.050034665,,
1.78,-1.1,0.050049486,,
1.78,-1.2,0.050036046,,
1.78,-1.3,0.050015795,,
1.78,-1.4,0.049995946,,
1.78,-1.5,0.049914205,,
1.78,-1.6,0.050021266,,
1.78,-1.7,0.284045,,
1.78,-1.8,0.377504,,
1.78,-1.9,0.445867,,
1.78,-2,0.486787,,
1.78,0,0.050049453,,
1.78,0.1,0.050052461,,
1.78,0.2,0.049966821,,
1.78,0.3,0.049992774,,
1.78,0.4,0.050030762,,
1.78,0.5,0.049991105,,
1.78,0.6,0.049969902,,
1.78,0.7,0.049978315,,
1.78,0.8,0.050007771,,
1.78,0.9,0.050079268,,
1.78,1,0.05008275,,
1.78,1.1,0.049923345,,
1.78,1.2,0.049999593,,
1.78,1.3,0.050002104,,
1.78,1.4,0.050017761,,
1.78,1.5,0.05001361,,
1.78,1.6,0.049982298,,
