lorentzForce,siteDistance,vAve
1.88,-0.50,-0.0250346
1.88,-0.60,-0.232501
1.88,-0.70,-0.14691
1.88,-0.80,-0.0250129
1.88,-0.90,-0.0249997
1.88,-1.00,0.147436
1.88,-1.10,0.142443
1.88,-1.20,-0.0250654
1.88,-1.30,0.374922
1.88,-1.40,0.374926
1.88,-1.50,0.375
1.88,-1.60,0.374983
1.88,-1.70,0.374925
1.88,-1.80,0.320046
1.88,-1.90,0.259826
1.88,-2.00,0.101102
1.88,0.00,-0.0250274
1.88,0.10,-0.0250629
1.88,0.20,-0.0250453
1.88,0.30,-0.0250093
1.88,0.40,-0.0250784
1.88,0.50,-0.0250498
1.88,0.60,-0.161734
1.88,0.70,-0.0842546
1.88,0.80,-0.187814
1.88,0.90,-0.425036
1.88,1.00,-0.378993
1.88,1.10,-0.280963
1.88,1.20,-0.425027
1.88,1.30,-0.413793
1.88,1.40,-0.425063
1.88,1.50,-0.425062
1.88,1.60,-0.42506
1.88,1.70,-0.425019
1.88,1.80,-0.215328
1.88,1.90,-0.173704
1.88,2.00,-0.151461
1.90,-0.10,-0.0250735
1.90,-0.20,-0.0250067
1.90,-0.30,-0.0250433
1.90,-0.40,-0.0250518
1.90,-0.50,-0.251073
1.90,-0.60,0.167428
1.90,-0.70,0.162489
1.90,-0.80,-0.02552
1.90,-0.90,-0.0250599
1.90,-1.00,-0.0249981
1.90,-1.10,-0.0250926
1.90,-1.20,0.374911
1.90,-1.30,0.374936
1.90,-1.40,0.374937
1.90,-1.50,0.374909
1.90,-1.60,0.374904
1.90,-1.70,0.291953
1.90,-1.80,0.297777
1.90,-1.90,0.102488
1.90,-2.00,0.0974387
1.90,0.00,-0.0250123
1.90,0.10,-0.0250815
1.90,0.20,-0.0250837
1.90,0.30,-0.025089
1.90,0.40,-0.0250093
1.90,0.50,-0.178464
1.90,0.60,-0.211857
1.90,0.70,-0.167943
1.90,0.80,-0.425063
1.90,0.90,-0.385498
1.90,1.00,-0.298656
1.90,1.10,-0.425077
1.90,1.20,-0.425021
1.90,1.30,-0.425026
1.90,1.40,-0.425088
1.90,1.50,-0.425011
1.90,1.60,-0.425013
1.90,1.70,-0.24252
1.90,1.80,-0.121315
1.90,1.90,-0.162846
1.90,2.00,-0.15999
1.92,-0.10,-0.0250005
1.92,-0.20,-0.0250156
1.92,-0.30,-0.025087
1.92,-0.40,-0.3198
1.92,-0.50,-0.114407
1.92,-0.60,-0.11075
1.92,-0.70,0.162477
1.92,-0.80,0.15745
1.92,-0.90,-0.0250944
1.92,-1.00,0.374927
1.92,-1.10,0.37493
1.92,-1.20,0.37491
1.92,-1.30,0.374967
1.92,-1.40,0.374967
1.92,-1.50,0.374983
1.92,-1.60,0.147634
1.92,-1.70,0.154563
1.92,-1.80,0.107462
1.92,-1.90,0.102461
1.92,-2.00,0.0974929
1.92,0.00,-0.0250411
1.92,0.10,-0.0250853
1.92,0.20,-0.0250016
1.92,0.30,-0.025024
1.92,0.40,-0.309931
1.92,0.50,-0.269138
1.92,0.60,-0.359405
1.92,0.70,-0.252537
1.92,0.80,-0.408217
1.92,0.90,-0.296926
1.92,1.00,-0.321229
1.92,1.10,-0.425085
1.92,1.20,-0.425014
1.92,1.30,-0.425041
1.92,1.40,-0.425099
1.92,1.50,-0.114243
1.92,1.60,-0.268579
1.92,1.70,-0.26694
1.92,1.80,-0.21963
1.92,1.90,-0.119935
1.92,2.00,-0.190769
1.94,-0.10,-0.0250776
1.94,-0.20,0.187467
1.94,-0.30,-0.216053
1.94,-0.40,-0.167051
1.94,-0.50,-0.0471176
1.94,-0.60,-0.0250448
1.94,-0.70,-0.033474
1.94,-0.80,-0.025056
1.94,-0.90,0.374959
1.94,-1.00,0.0559375
1.94,-1.10,0.374923
1.94,-1.20,0.37499
1.94,-1.30,0.37492
1.94,-1.40,0.374925
1.94,-1.50,0.300965
1.94,-1.60,0.172346
1.94,-1.70,0.112707
1.94,-1.80,0.107426
1.94,-1.90,0.102483
1.94,-2.00,0.0974368
1.94,0.00,-0.0250825
1.94,0.10,-0.0250764
1.94,0.20,-0.192941
1.94,0.30,-0.191393
1.94,0.40,-0.183386
1.94,0.50,-0.228678
1.94,0.60,-0.425067
1.94,0.70,-0.425013
1.94,0.80,-0.425089
1.94,0.90,-0.425064
1.94,1.00,-0.425052
1.94,1.10,-0.425038
1.94,1.20,-0.42506
1.94,1.30,-0.425027
1.94,1.40,-0.135571
1.94,1.50,-0.251286
1.94,1.60,-0.266683
1.94,1.70,-0.217125
1.94,1.80,-0.132739
1.94,1.90,-0.12087
1.94,2.00,-0.104416
1.96,-0.10,-0.207592
1.96,-0.20,-0.212518
1.96,-0.30,-0.168639
1.96,-0.40,-0.16161
1.96,-0.50,-0.0655963
1.96,-0.60,-0.0286071
1.96,-0.70,-0.0250643
1.96,-0.80,-0.0250433
1.96,-0.90,-0.0189414
1.96,-1.00,0.374999
1.96,-1.10,0.0416545
1.96,-1.20,0.374976
1.96,-1.30,-0.0205525
1.96,-1.40,-0.0123166
1.96,-1.50,0.0450407
1.96,-1.60,0.117462
1.96,-1.70,0.1125
1.96,-1.80,0.107438
1.96,-1.90,0.10246
1.96,-2.00,0.0968803
1.96,0.00,-0.0250373
1.96,0.10,-0.199056
1.96,0.20,-0.260712
1.96,0.30,-0.368773
1.96,0.40,-0.425092
1.96,0.50,-0.243556
1.96,0.60,-0.424995
