time,x,y,x,y,x,y,x,y,x,y,x,y
0.163,0.243183,-0.408439,0.243183,-0.408439,-0.243183,-0.408439,0.243183,0.408439,-0.243183,0.408439,-0.243183,0.408439
0.164,-0.243181,-0.408057,-0.243181,-0.408057,0.243181,-0.408057,-0.243181,0.408057,0.243181,0.408057,0.243181,0.408057
0.165,-0.243179,-0.407676,-0.243179,-0.407676,0.243179,-0.407676,-0.243179,0.407676,0.243179,0.407676,0.243179,0.407676
0.166,0.243177,-0.407295,0.243177,-0.407295,-0.243177,-0.407295,0.243177,0.407295,-0.243177,0.407295,-0.243177,0.407295
0.167,0.243176,-0.406914,0.243176,-0.406914,-0.243176,-0.406914,0.243176,0.406914,-0.243176,0.406914,-0.243176,0.406914
0.168,-0.243174,-0.406534,-0.243174,-0.406534,0.243174,-0.406534,-0.243174,0.406534,0.243174,0.406534,0.243174,0.406534
0.169,-0.243172,-0.406154,-0.243172,-0.406154,0.243172,-0.406154,-0.243172,0.406154,0.243172,0.406154,0.243172,0.406154
0.17,0.24317,-0.405776,0.24317,-0.405776,-0.24317,-0.405776,0.24317,0.405776,-0.24317,0.405776,-0.24317,0.405776
0.171,0.243168,-0.405397,0.243168,-0.405397,-0.243168,-0.405397,0.243168,0.405397,-0.243168,0.405397,-0.243168,0.405397
0.172,-0.243167,-0.405019,-0.243167,-0.405019,0.243167,-0.405019,-0.243167,0.405019,0.243167,0.405019,0.243167,0.405019
0.173,-0.243165,-0.404642,-0.243165,-0.404642,0.243165,-0.404642,-0.243165,0.404642,0.243165,0.404642,0.243165,0.404642
0.174,0.243163,-0.404265,0.243163,-0.404265,-0.243163,-0.404265,0.243163,0.404265,-0.243163,0.404265,-0.243163,0.404265
0.175,0.243161,-0.403889,0.243161,-0.403889,-0.243161,-0.403889,0.243161,0.403889,-0.243161,0.403889,-0.243161,0.403889
0.176,-0.243159,-0.403513,-0.243159,-0.403513,0.243159,-0.403513,-0.243159,0.403513,0.243159,0.403513,0.243159,0.403513
0.177,-0.243157,-0.403138,-0.243157,-0.403138,0.243157,-0.403138,-0.243157,0.403138,0.243157,0.403138,0.243157,0.403138
0.178,0.243155,-0.402763,0.243155,-0.402763,-0.243155,-0.402763,0.243155,0.402763,-0.243155,0.402763,-0.243155,0.402763
0.179,0.243153,-0.402389,0.243153,-0.402389,-0.243153,-0.402389,0.243153,0.402389,-0.243153,0.402389,-0.243153,0.402389
0.18,-0.243152,-0.402015,-0.243152,-0.402015,0.243152,-0.402015,-0.243152,0.402015,0.243152,0.402015,0.243152,0.402015
0.181,-0.24315,-0.401642,-0.24315,-0.401642,0.24315,-0.401642,-0.24315,0.401642,0.24315,0.401642,0.24315,0.401642
0.182,0.243147,-0.401269,0.243147,-0.401269,-0.243147,-0.401269,0.243147,0.401269,-0.243147,0.401269,-0.243147,0.401269
0.183,0.243146,-0.400897,0.243146,-0.400897,-0.243146,-0.400897,0.243146,0.400897,-0.243146,0.400897,-0.243146,0.400897
0.184,-0.243144,-0.400525,-0.243144,-0.400525,0.243144,-0.400525,-0.243144,0.400525,0.243144,0.400525,0.243144,0.400525
0.185,-0.243142,-0.400154,-0.243142,-0.400154,0.243142,-0.400154,-0.243142,0.400154,0.243142,0.400154,0.243142,0.400154
0.186,0.24314,-0.399784,0.24314,-0.399784,-0.24314,-0.399784,0.24314,0.399784,-0.24314,0.399784,-0.24314,0.399784
0.187,0.243138,-0.399414,0.243138,-0.399414,-0.243138,-0.399414,0.243138,0.399414,-0.243138,0.399414,-0.243138,0.399414
0.188,-0.243136,-0.399044,-0.243136,-0.399044,0.243136,-0.399044,-0.243136,0.399044,0.243136,0.399044,0.243136,0.399044
0.189,-0.243134,-0.398675,-0.243134,-0.398675,0.243134,-0.398675,-0.243134,0.398675,0.243134,0.398675,0.243134,0.398675
0.19,0.243132,-0.398306,0.243132,-0.398306,-0.243132,-0.398306,0.243132,0.398306,-0.243132,0.398306,-0.243132,0.398306
0.191,0.24313,-0.397938,0.24313,-0.397938,-0.24313,-0.397938,0.24313,0.397938,-0.24313,0.397938,-0.24313,0.397938
0.192,-0.243128,-0.397571,-0.243128,-0.397571,0.243128,-0.397571,-0.243128,0.397571,0.243128,0.397571,0.243128,0.397571
0.193,-0.243126,-0.397204,-0.243126,-0.397204,0.243126,-0.397204,-0.243126,0.397204,0.243126,0.397204,0.243126,0.397204
0.194,0.243123,-0.396837,0.243123,-0.396837,-0.243123,-0.396837,0.243123,0.396837,-0.243123,0.396837,-0.243123,0.396837
0.195,0.243121,-0.396471,0.243121,-0.396471,-0.243121,-0.396471,0.243121,0.396471,-0.243121,0.396471,-0.243121,0.396471
0.196,-0.24312,-0.396106,-0.24312,-0.396106,0.24312,-0.396106,-0.24312,0.396106,0.24312,0.396106,0.24312,0.396106
0.197,-0.243117,-0.395741,-0.243117,-0.395741,0.243117,-0.395741,-0.243117,0.395741,0.243117,0.395741,0.243117,0.395741
0.198,0.243115,-0.395377,0.243115,-0.395377,-0.243115,-0.395377,0.243115,0.395377,-0.243115,0.395377,-0.243115,0.395377
